Customer_ID,Age,Income_Level,Number_of_Subscriptions,Avg_Usage_Hours_Per_Week,App_Switch_Frequency,Discount_Used,Customer_Support_Interactions,Payment_Mode,Tenure_Months,Device_Type,Satisfaction_Score,Monthly_Total_Spend,Will_Cancel_Next_3_Months
1,56,Medium,5,8.1,7,0,1,Credit Card,45,Android,7,713.0,0
2,46,High,10,11.3,0,0,2,Wallet,35,Android,4,1162.31,0
3,32,Medium,6,6.2,8,0,1,Debit Card,45,iOS,5,545.97,0
4,60,Medium,5,4.6,6,1,4,Credit Card,26,Web,6,609.55,0
5,25,Medium,4,5.8,13,1,3,Wallet,36,Android,8,541.72,0
6,38,Medium,12,1.7,9,0,6,UPI,3,iOS,3,884.09,1
7,56,Medium,4,13.4,14,1,6,Credit Card,26,Android,6,487.59,0
8,36,Medium,4,5.5,6,0,6,Credit Card,7,Android,6,415.96,0
9,40,Low,4,11.8,5,0,4,Debit Card,23,Android,2,105.23,0
10,28,Low,6,4.3,0,0,9,Wallet,41,Android,10,442.49,0
11,28,Medium,6,6.1,12,0,3,Wallet,19,Android,2,662.25,0
12,41,Medium,5,8.2,1,0,7,UPI,13,iOS,1,275.3,0
13,53,Low,12,9.9,10,0,3,Wallet,23,Android,3,668.94,1
14,57,Medium,11,7.8,2,0,4,Wallet,1,Android,5,789.4,0
15,41,Low,11,3.4,0,0,7,Credit Card,6,Android,5,494.41,1
16,20,Low,9,7.8,4,1,2,Debit Card,8,Web,2,391.26,0
17,39,Medium,8,11.8,10,0,6,Debit Card,38,Web,1,783.05,1
18,19,Medium,10,9.0,4,1,0,UPI,28,iOS,10,803.87,0
19,41,Medium,6,14.6,5,1,1,Wallet,28,iOS,2,363.24,0
20,61,Medium,11,8.5,13,1,1,UPI,16,Android,8,819.81,0
21,47,High,9,11.0,12,0,4,Debit Card,32,iOS,4,1173.54,1
22,55,Medium,5,9.6,6,0,1,Wallet,23,Web,6,584.73,0
23,19,Low,10,6.1,9,1,3,UPI,6,Web,6,482.33,0
24,38,Medium,4,7.8,8,0,0,Wallet,7,iOS,10,421.1,0
25,50,Low,6,11.3,12,1,5,UPI,7,Android,6,495.52,0
26,29,High,4,7.0,6,1,9,UPI,9,iOS,9,602.53,0
27,39,Low,8,9.2,12,0,0,Debit Card,26,Android,3,524.42,1
28,61,Medium,7,6.1,5,0,1,Credit Card,47,Android,9,480.89,0
29,42,Low,5,10.8,12,1,3,Credit Card,19,Android,10,311.88,0
30,44,High,10,8.2,14,0,3,UPI,27,Android,6,1194.27,0
31,59,Low,6,10.6,8,0,8,Debit Card,41,Android,2,601.06,1
32,45,High,11,11.7,1,0,4,UPI,13,Android,9,1251.41,0
33,33,Low,7,10.0,5,0,9,Credit Card,21,iOS,2,369.03,1
34,32,Low,2,7.5,4,0,3,Wallet,42,iOS,3,330.68,0
35,64,Low,9,7.5,11,0,4,Debit Card,28,Android,9,542.52,0
36,61,High,7,1.7,14,1,6,Credit Card,4,iOS,6,915.4,1
37,20,High,8,9.3,5,0,8,Credit Card,8,Web,10,1081.07,0
38,54,Low,5,11.1,14,1,8,Credit Card,33,Android,7,370.29,0
39,24,Low,3,4.3,14,1,0,Debit Card,15,iOS,10,460.6,0
40,38,Medium,2,7.5,9,1,3,Debit Card,7,Android,3,463.73,0
41,26,Low,2,7.5,0,1,3,Credit Card,6,iOS,3,356.49,0
42,56,Low,3,9.4,10,0,6,Debit Card,16,Android,6,374.18,0
43,35,Low,1,8.4,4,0,5,UPI,2,Android,4,450.23,0
44,21,Low,1,5.3,11,1,7,Debit Card,25,iOS,5,242.16,0
45,42,Low,7,12.8,7,1,3,Debit Card,19,Android,3,325.68,0
46,31,Low,10,3.0,2,0,7,Credit Card,37,Android,6,548.33,1
47,26,Medium,12,6.2,13,0,5,Wallet,5,Android,7,983.82,0
48,43,High,11,4.0,2,1,1,Wallet,20,iOS,5,1268.23,0
49,19,Low,8,9.1,12,0,0,Wallet,23,Android,3,508.06,1
50,37,Medium,6,9.4,12,0,9,Wallet,15,Android,6,431.27,0
51,45,Low,7,7.6,10,0,8,Wallet,9,Android,10,423.76,1
52,64,Medium,1,4.4,6,0,7,UPI,7,Android,1,519.95,1
53,24,Low,1,5.2,6,0,0,UPI,37,Android,8,315.62,0
54,61,Medium,9,10.7,11,0,3,Debit Card,3,Web,6,818.68,0
55,25,Low,5,7.8,1,0,1,Wallet,24,Android,3,241.3,0
56,64,High,7,6.6,12,0,1,Wallet,21,Android,10,750.35,0
57,52,Low,6,5.9,7,0,6,UPI,30,Android,6,314.55,0
58,31,Medium,4,7.6,14,0,9,Debit Card,18,Android,10,551.83,0
59,34,High,1,9.7,4,0,4,Credit Card,16,Web,7,419.78,0
