Customer ID,Age,Tenure (Months),Monthly Spend ($),Weekly Usage (Hrs),Support Tickets,Satisfaction (1-5),Churn Probability,Confidence Lower,Confidence Upper,Will Cancel,Risk Category,Recommended Offer,Action Description
1,56,45,713.0,8.1,1,7,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
2,46,35,1162.31,11.3,2,4,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
3,32,45,545.97,6.2,1,5,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
4,60,26,609.55,4.6,4,6,0.06%,0.0%,0.54%,0,Low,No Action Required,Customer behavior shows stable engagement.
5,25,36,541.72,5.8,3,8,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
6,38,3,884.09,1.7,6,3,99.86%,99.13%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
7,56,26,487.59,13.4,6,6,0.02%,0.0%,0.32%,0,Low,No Action Required,Customer behavior shows stable engagement.
8,36,7,415.96,5.5,6,6,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
9,40,23,105.23,11.8,4,2,0.02%,0.0%,0.29%,0,Low,No Action Required,Customer behavior shows stable engagement.
10,28,41,442.49,4.3,9,10,0.11%,0.0%,0.77%,0,Low,No Action Required,Customer behavior shows stable engagement.
11,28,19,662.25,6.1,3,2,0.02%,0.0%,0.33%,0,Low,No Action Required,Customer behavior shows stable engagement.
12,41,13,275.3,8.2,7,1,0.03%,0.0%,0.36%,0,Low,No Action Required,Customer behavior shows stable engagement.
13,53,23,668.94,9.9,3,3,99.97%,99.63%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
14,57,1,789.4,7.8,4,5,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
15,41,6,494.41,3.4,7,5,99.88%,99.19%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
16,20,8,391.26,7.8,2,2,0.02%,0.0%,0.31%,0,Low,No Action Required,Customer behavior shows stable engagement.
17,39,38,783.05,11.8,6,1,99.97%,99.65%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
18,19,28,803.87,9.0,0,10,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
19,41,28,363.24,14.6,1,2,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
20,61,16,819.81,8.5,1,8,0.01%,0.0%,0.25%,0,Low,No Action Required,Customer behavior shows stable engagement.
21,47,32,1173.54,11.0,4,4,99.96%,99.59%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
22,55,23,584.73,9.6,1,6,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
23,19,6,482.33,6.1,3,6,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
24,38,7,421.1,7.8,0,10,0.01%,0.0%,0.22%,0,Low,No Action Required,Customer behavior shows stable engagement.
25,50,7,495.52,11.3,5,6,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
26,29,9,602.53,7.0,9,9,0.02%,0.0%,0.28%,0,Low,No Action Required,Customer behavior shows stable engagement.
27,39,26,524.42,9.2,0,3,99.98%,99.67%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
28,61,47,480.89,6.1,1,9,0.01%,0.0%,0.2%,0,Low,No Action Required,Customer behavior shows stable engagement.
29,42,19,311.88,10.8,3,10,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
30,44,27,1194.27,8.2,3,6,0.02%,0.0%,0.26%,0,Low,No Action Required,Customer behavior shows stable engagement.
31,59,41,601.06,10.6,8,2,99.98%,99.69%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
32,45,13,1251.41,11.7,4,9,0.01%,0.0%,0.21%,0,Low,No Action Required,Customer behavior shows stable engagement.
33,33,21,369.03,10.0,9,2,99.97%,99.62%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
34,32,42,330.68,7.5,3,3,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
35,64,28,542.52,7.5,4,9,0.01%,0.0%,0.24%,0,Low,No Action Required,Customer behavior shows stable engagement.
36,61,4,915.4,1.7,6,6,99.89%,99.23%,100.0%,1,High,Offer Discount,Apply 20% discount on renewal to mitigate high interaction friction.
37,20,8,1081.07,9.3,8,10,0.02%,0.0%,0.32%,0,Low,No Action Required,Customer behavior shows stable engagement.
38,54,33,370.29,11.1,8,7,0.02%,0.0%,0.32%,0,Low,No Action Required,Customer behavior shows stable engagement.
39,24,15,460.6,4.3,0,10,0.07%,0.0%,0.6%,0,Low,No Action Required,Customer behavior shows stable engagement.
40,38,7,463.73,7.5,3,3,0.02%,0.0%,0.31%,0,Low,No Action Required,Customer behavior shows stable engagement.
41,26,6,356.49,7.5,3,3,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
42,56,16,374.18,9.4,6,6,0.02%,0.0%,0.31%,0,Low,No Action Required,Customer behavior shows stable engagement.
43,35,2,450.23,8.4,5,4,0.02%,0.0%,0.27%,0,Low,No Action Required,Customer behavior shows stable engagement.
