iter	Logloss
0	0.5573830591
1	0.4337972515
2	0.3381860667
3	0.2616710482
4	0.2059696166
5	0.1652592497
6	0.1358152154
7	0.1104098587
8	0.08887102266
9	0.07291769878
10	0.05982146402
11	0.04879686695
12	0.04052960728
13	0.03388191383
14	0.02830191471
15	0.02417985465
16	0.02057883643
17	0.01756251882
18	0.01528234822
19	0.01323778669
20	0.01177920917
21	0.01030017944
22	0.009068157996
23	0.008034322683
24	0.007142085788
25	0.006444519405
26	0.005942179973
27	0.005377749291
28	0.004990619245
29	0.004526207005
30	0.004161291521
31	0.003886577347
32	0.003560920173
33	0.003352093855
34	0.003089813635
35	0.0029041409
36	0.002690979118
37	0.002557134327
38	0.002396184831
39	0.002257912335
40	0.002123584798
41	0.002003744557
42	0.001921027637
43	0.001843940366
44	0.001770123147
45	0.001669302858
46	0.001586831583
47	0.001515449719
48	0.001463432355
49	0.001388657929
50	0.001321430828
51	0.001267500753
