iter	Passed	Remaining
0	288	144056
1	436	108655
2	526	87184
3	612	75932
4	706	69946
5	767	63209
6	918	64687
7	1068	65701
8	1140	62214
9	1205	59048
10	1267	56339
11	1330	54095
12	1401	52512
13	1478	51315
14	1548	50059
15	1620	49020
16	1690	48036
17	1761	47181
18	1855	46980
19	1978	47485
20	2108	48091
21	2232	48513
22	2295	47608
23	2359	46793
24	2427	46126
25	2500	45592
26	2579	45188
27	2667	44960
28	2761	44846
29	2846	44601
30	2906	43971
31	2966	43389
32	3025	42821
33	3127	42861
34	3253	43223
35	3370	43436
36	3430	42921
37	3483	42357
38	3545	41906
39	3606	41474
40	3675	41150
41	3739	40777
42	3810	40499
43	3887	40291
44	3956	40008
45	4006	39541
46	4062	39156
47	4143	39018
48	4252	39140
49	4375	39380
50	4437	39070
51	4489	38681
